Case Number,Date,Primary Type,Description,Location Description,Arrest,Domestic,FBI Code,Location,Time,Seconds,Hour,NEW LOCATION,Latitude,Longitude,simple location
HY411648,9/5/2015 13:30,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,08B,"(41.815117282, -87.669999562)",1:30:00,0,1, New City,41.81511728,-87.66999956,Middle City
HY411615,9/4/2015 11:30,THEFT,POCKET-PICKING,CTA BUS,FALSE,FALSE,6,"(41.895080471, -87.765400451)",11:30:00,0,11, Austin,41.89508047,-87.76540045,West Side
HY411595,9/5/2015 12:45,NARCOTICS,POSS: HEROIN(BRN/TAN),SIDEWALK,TRUE,FALSE,18,"(41.937405765, -87.716649687)",12:45:00,0,12, Avondale,41.93740577,-87.71664969,Upper Town
HY411610,9/5/2015 13:00,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,08A,"(41.881903443, -87.755121152)",1:00:00,0,1, Austin,41.88190344,-87.75512115,West Side
HY411435,9/5/2015 10:55,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,5,"(41.744378879, -87.658430635)",10:55:00,0,10, Auburn Gresham,41.74437888,-87.65843064,Lower Town
HY411629,9/4/2015 18:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,5,"(41.914635603, -87.681630909)",6:00:00,0,6, Logan Square,41.9146356,-87.68163091,West Side
HY411605,9/5/2015 13:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,6,"(41.851988885, -87.689219118)",1:00:00,0,1, South Lawndale,41.85198889,-87.68921912,Lower Town
HY411654,9/5/2015 11:30,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,TRUE,3,"(41.88281374, -87.704325717)",11:30:00,0,11, East Garfield Park,41.88281374,-87.70432572,West Side
HY411662,9/5/2015 14:00,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,6,"(41.763647552, -87.722344693)",2:00:00,0,2, West Lawn,41.76364755,-87.72234469,Lower Town
HY411626,9/5/2015 11:00,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,08B,"(41.975968415, -87.768014257)",11:00:00,0,11, Jefferson Park,41.97596842,-87.76801426,Upper Town
HY411632,9/5/2015 3:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,26,"(41.707154919, -87.624244993)",3:00:00,0,3, Roseland,41.70715492,-87.62424499,East Side
HY411566,9/5/2015 12:50,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,08B,"(41.809678314, -87.593638934)",12:50:00,0,12, Kenwood,41.80967831,-87.59363893,Middle City
HY411489,9/5/2015 11:45,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,FALSE,FALSE,04B,"(41.748097343, -87.662166183)",11:45:00,0,11, Auburn Gresham,41.74809734,-87.66216618,Lower Town
HY411656,9/5/2015 13:30,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,14,"(41.893869916, -87.754341096)",1:30:00,0,1, Austin,41.89386992,-87.7543411,West Side
HY410094,7/8/2015 0:00,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,5,"(41.707490122, -87.559650325)",12:00:00,0,12, South Deering,41.70749012,-87.55965033,East Side
HY411388,9/5/2015 9:55,BURGLARY,FORCIBLE ENTRY,RESIDENCE,TRUE,FALSE,5,"(41.733173536, -87.665421067)",9:55:00,0,9, Auburn Gresham,41.73317354,-87.66542107,Lower Town
HY411568,9/5/2015 12:35,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,08B,"(41.949429769, -87.775435529)",12:35:00,0,12, Portage Park,41.94942977,-87.77543553,Upper Town
HY411581,9/4/2015 22:30,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,14,"(41.713031786, -87.536487809)",10:30:00,0,10, East Side,41.71303179,-87.53648781,East Side
HY411650,9/2/2015 0:01,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,14,"(41.972552295, -87.751076926)",12:01:00,0,12, Forest Glen,41.9725523,-87.75107693,Upper Town
HY411563,9/4/2015 15:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,14,"(41.713031786, -87.536487809)",3:00:00,0,3, East Side,41.71303179,-87.53648781,East Side
HY411606,9/5/2015 13:45,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,3,"(41.766247597, -87.575997062)",1:45:00,0,1, South Shore,41.7662476,-87.57599706,Lower Town
HY411550,9/3/2015 21:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,14,"(41.713127829, -87.536486623)",9:00:00,0,9, East Side,41.71312783,-87.53648662,East Side
HY411328,9/5/2015 8:45,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,08A,"(41.756330319, -87.552716204)",8:45:00,0,8, South Shore,41.75633032,-87.5527162,Lower Town
HY411198,9/5/2015 6:20,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.758420222, -87.565152335)",6:20:00,0,6, South Shore,41.75842022,-87.56515234,Lower Town
HY410417,9/4/2015 16:15,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,3,"(41.75135862, -87.560164545)",4:15:00,0,4, South Chicago,41.75135862,-87.56016455,East Side
HY410651,9/3/2015 20:30,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,6,"(41.752596188, -87.554055126)",8:30:00,0,8, South Shore,41.75259619,-87.55405513,Lower Town
HY411672,9/5/2015 14:30,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,6,"(41.875367424, -87.627620993)",2:30:00,0,2, Loop,41.87536742,-87.62762099,Upper Town
HY411586,9/5/2015 12:40,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,04B,"(41.782597483, -87.638879769)",12:40:00,0,12, Englewood,41.78259748,-87.63887977,Lower Town
HY411685,9/5/2015 7:00,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,5,"(41.880252868, -87.69924661)",7:00:00,0,7, East Garfield Park,41.88025287,-87.69924661,West Side
HY411666,9/5/2015 9:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,26,"(41.769386857, -87.740336842)",9:00:00,0,9, Midway Village,41.76938686,-87.74033684,Middle City
HY411687,9/5/2015 14:45,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,6,"(41.763647552, -87.722344693)",2:45:00,0,2, West Lawn,41.76364755,-87.72234469,Lower Town
HY411675,9/5/2015 14:44,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,08A,"(41.967448012, -87.732951137)",2:44:00,0,2, Albany Park,41.96744801,-87.73295114,Upper Town
HY411651,9/2/2015 12:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,26,"(41.756290353, -87.565108099)",12:00:00,0,12, South Shore,41.75629035,-87.5651081,Lower Town
HY411660,9/5/2015 14:30,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,TRUE,FALSE,26,"(41.858197949, -87.723692079)",2:30:00,0,2, North Lawndale,41.85819795,-87.72369208,West Side
HY411499,9/5/2015 11:20,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,3,"(41.984956576, -87.69589518)",11:20:00,0,11, West Ridge,41.98495658,-87.69589518,Upper Town
HY411661,9/5/2015 14:35,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,18,"(41.770447177, -87.628299291)",2:35:00,0,2, Greater Grand Crossing,41.77044718,-87.62829929,Middle City
HY411679,9/5/2015 14:40,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,TRUE,FALSE,15,"(41.903532921, -87.729402988)",2:40:00,0,2, Humboldt Park,41.90353292,-87.72940299,West Side
HY411422,9/4/2015 19:30,THEFT,OVER $500,OTHER,FALSE,FALSE,6,"(41.772613371, -87.636098706)",7:30:00,0,7, Englewood,41.77261337,-87.63609871,Lower Town
HY411514,9/5/2015 12:04,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,14,"(41.781182029, -87.632651097)",12:04:00,0,12, Englewood,41.78118203,-87.6326511,Lower Town
HY410733,9/4/2015 20:20,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,08B,"(41.78462669, -87.650983434)",8:20:00,0,8, Englewood,41.78462669,-87.65098343,Lower Town
HY410899,3/27/2014 0:01,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,26,"(41.830611847, -87.623247369)",12:01:00,0,12, Douglas,41.83061185,-87.62324737,Middle City
HY411717,9/5/2015 15:12,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,TRUE,FALSE,15,"(41.877553391, -87.756129762)",3:12:00,0,3, Austin,41.87755339,-87.75612976,West Side
HY411713,9/1/2015 9:00,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESTAURANT,FALSE,FALSE,10,"(41.890853973, -87.628644182)",9:00:00,0,9, Near North Side,41.89085397,-87.62864418,Upper Town
HY411719,9/5/2015 15:28,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,08B,"(41.777198018, -87.645940487)",3:28:00,0,3, Englewood,41.77719802,-87.64594049,Lower Town
HY411709,9/5/2015 15:20,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE,FALSE,18,"(41.87281932, -87.701849872)",3:20:00,0,3, East Garfield Park,41.87281932,-87.70184987,West Side
HY411721,9/5/2015 15:44,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENCE,FALSE,FALSE,15,"(41.759592098, -87.623173211)",3:44:00,0,3, Greater Grand Crossing,41.7595921,-87.62317321,Middle City
HY409178,9/3/2015 17:55,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,FALSE,FALSE,15,"(41.871074992, -87.694589977)",5:55:00,0,5, East Garfield Park,41.87107499,-87.69458998,West Side
HY411683,9/5/2015 14:00,CRIMINAL TRESPASS,TO LAND,RESTAURANT,FALSE,FALSE,26,"(41.965352898, -87.66046802)",2:00:00,0,2, Uptown,41.9653529,-87.66046802,Upper Town
HY411723,9/5/2015 14:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,7,"(41.950307614, -87.649064886)",2:30:00,0,2, Lake View,41.95030761,-87.64906489,Upper Town
HY411697,9/5/2015 15:05,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,08B,"(41.730240434, -87.606288953)",3:05:00,0,3, Chatham,41.73024043,-87.60628895,Middle City
HY411753,9/5/2015 15:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,26,"(41.974722701, -87.724575286)",3:00:00,0,3, Albany Park,41.9747227,-87.72457529,Upper Town
HY411745,9/4/2015 11:17,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,6,"(41.90444226, -87.63293969)",11:17:00,0,11, Near North Side,41.90444226,-87.63293969,Upper Town
HY411740,9/5/2015 15:45,THEFT,FROM BUILDING,LIBRARY,FALSE,FALSE,6,"(41.876607964, -87.627644063)",3:45:00,0,3, Loop,41.87660796,-87.62764406,Upper Town
HY411696,9/3/2015 13:30,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,11,"(41.900040745, -87.721343753)",1:30:00,0,1, Humboldt Park,41.90004075,-87.72134375,West Side
HY411718,9/5/2015 15:30,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,6,"(41.873861861, -87.68895549)",3:30:00,0,3, Near West Side,41.87386186,-87.68895549,Upper Town
HY411732,9/5/2015 15:40,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,18,"(41.671989656, -87.633298499)",3:40:00,0,3, West Pullman,41.67198966,-87.6332985,Lower Town
HY411746,9/5/2015 15:15,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,08B,"(41.686675992, -87.608291666)",3:15:00,0,3, Pullman,41.68667599,-87.60829167,East Side
HY410834,9/4/2015 8:25,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,5,"(41.694443727, -87.619013197)",8:25:00,0,8, Roseland,41.69444373,-87.6190132,East Side
HY411619,9/5/2015 0:30,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,6,"(41.742177899, -87.560010869)",12:30:00,0,12, South Chicago,41.7421779,-87.56001087,East Side
HY411765,8/30/2015 16:00,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,FALSE,FALSE,6,"(41.863235129, -87.624061274)",4:00:00,0,4, Near South Side,41.86323513,-87.62406127,Upper Town
HY411327,9/4/2015 23:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,14,"(41.985148529, -87.711378169)",11:00:00,0,11, North Park,41.98514853,-87.71137817,Upper Town
HY411431,9/5/2015 10:53,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,FALSE,FALSE,04B,"(41.686218054, -87.623739069)",10:53:00,0,10, Roseland,41.68621805,-87.62373907,East Side
HY411658,9/5/2015 11:00,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,6,"(41.832071291, -87.616978684)",11:00:00,0,11, Douglas,41.83207129,-87.61697868,Middle City
HY411778,9/5/2015 15:02,THEFT,ATTEMPT THEFT,DRUG STORE,FALSE,FALSE,6,"(41.751613643, -87.575373855)",3:02:00,0,3, South Chicago,41.75161364,-87.57537386,East Side
HY411701,9/5/2015 12:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,11,"(41.900040745, -87.721343753)",12:00:00,0,12, Humboldt Park,41.90004075,-87.72134375,West Side
HY411725,9/5/2015 15:00,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,6,"(41.685021672, -87.618008151)",3:00:00,0,3, West Pullman,41.68502167,-87.61800815,Lower Town
HY411777,9/5/2015 16:16,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,18,"(41.790159304, -87.648698923)",4:16:00,0,4, Englewood,41.7901593,-87.64869892,Lower Town
HY411707,9/5/2015 12:00,THEFT,$500 AND UNDER,STREET,TRUE,FALSE,6,"(41.90706989, -87.648182264)",12:00:00,0,12, River North,41.90706989,-87.64818226,Upper Town
HY411703,9/5/2015 0:00,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.700055116, -87.702338239)",12:00:00,0,12, Mount Greenwood,41.70005512,-87.70233824,Middle City
HY411749,9/5/2015 15:55,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,5,"(41.969801264, -87.751896265)",3:55:00,0,3, Forest Glen,41.96980126,-87.75189627,Upper Town
HY411722,9/4/2015 17:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,26,"(41.921764773, -87.782158383)",5:00:00,0,5, Belmont Cragin,41.92176477,-87.78215838,West Side
HY411557,9/4/2015 23:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,26,"(41.701087782, -87.617255204)",11:00:00,0,11, Roseland,41.70108778,-87.6172552,East Side
HY411663,9/4/2015 21:45,BATTERY,SIMPLE,PARK PROPERTY,FALSE,FALSE,08B,"(41.884932988, -87.664621314)",9:45:00,0,9, Near West Side,41.88493299,-87.66462131,Upper Town
HY411712,9/4/2015 17:00,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,6,"(41.803227125, -87.658359911)",5:00:00,0,5, New City,41.80322713,-87.65835991,Middle City
HY411767,9/5/2015 14:00,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.800729285, -87.667199258)",2:00:00,0,2, New City,41.80072929,-87.66719926,Middle City
HY411770,9/5/2015 15:45,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,ALLEY,TRUE,FALSE,18,"(41.870761846, -87.696017659)",3:45:00,0,3, East Garfield Park,41.87076185,-87.69601766,West Side
HY411330,8/25/2015 12:00,THEFT,OVER $500,STREET,FALSE,FALSE,6,"(42.000327844, -87.693615326)",12:00:00,0,12, West Ridge,42.00032784,-87.69361533,Upper Town
HY411786,9/5/2015 16:15,NARCOTICS,POSS: HEROIN(WHITE),CHA PARKING LOT/GROUNDS,TRUE,FALSE,18,"(41.882100231, -87.685079332)",4:15:00,0,4, Near West Side,41.88210023,-87.68507933,Upper Town
HY411731,9/5/2015 15:30,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,6,"(41.851988885, -87.689219118)",3:30:00,0,3, South Lawndale,41.85198889,-87.68921912,Lower Town
HY411734,9/5/2015 15:43,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,08B,"(41.709430861, -87.66232682)",3:43:00,0,3, Beverly,41.70943086,-87.66232682,Middle City
HY411825,9/5/2015 16:00,THEFT,FROM BUILDING,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,6,"(41.903125898, -87.632182661)",4:00:00,0,4, Near North Side,41.9031259,-87.63218266,Upper Town
HY411839,9/5/2015 16:00,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,7,"(41.860061733, -87.723773492)",4:00:00,0,4, North Lawndale,41.86006173,-87.72377349,West Side
HY411834,9/4/2015 1:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,14,"(41.930970495, -87.702493061)",1:00:00,0,1, Logan Square,41.9309705,-87.70249306,West Side
JD189901,3/17/2020 21:30,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.952051946, -87.754660372)",9:30:00,0,9, Portage Park,41.95205195,-87.75466037,Upper Town
HY411832,9/4/2015 23:08,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,26,"(41.775015003, -87.777580203)",11:08:00,0,11, Clearing,41.775015,-87.7775802,Lower Town
HY411821,9/5/2015 16:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,5,"(41.926115609, -87.664606657)",4:00:00,0,4, Lincoln Park,41.92611561,-87.66460666,Upper Town
HY411807,9/4/2015 17:00,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,6,"(41.861161041, -87.627270627)",5:00:00,0,5, Near South Side,41.86116104,-87.62727063,Upper Town
HY411708,9/5/2015 14:55,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,6,"(41.946779572, -87.65617875)",2:55:00,0,2, Lake View,41.94677957,-87.65617875,Upper Town
HY411791,9/5/2015 16:25,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,TRUE,FALSE,26,"(41.943552694, -87.688162342)",4:25:00,0,4, North Center,41.94355269,-87.68816234,Upper Town
HY411790,9/5/2015 16:15,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,TRUE,FALSE,17,"(41.871883543, -87.729403606)",4:15:00,0,4, West Garfield Park,41.87188354,-87.72940361,West Side
HY411699,9/5/2015 12:30,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,TRUE,FALSE,18,"(41.747965107, -87.6597343)",12:30:00,0,12, Auburn Gresham,41.74796511,-87.6597343,Lower Town
HY411782,9/5/2015 16:15,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,08B,"(41.91894033, -87.766805639)",4:15:00,0,4, Belmont Cragin,41.91894033,-87.76680564,West Side
HY411804,9/5/2015 16:42,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,08B,"(41.754256108, -87.569940704)",4:42:00,0,4, South Shore,41.75425611,-87.5699407,Lower Town
HY411835,9/2/2015 7:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,14,"(41.754949629, -87.55997485)",7:00:00,0,7, South Shore,41.75494963,-87.55997485,Lower Town
HY411794,9/5/2015 16:13,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,14,"(41.895647706, -87.758067814)",4:13:00,0,4, Austin,41.89564771,-87.75806781,West Side
HY411809,9/5/2015 16:01,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,08B,"(41.771447416, -87.685868399)",4:01:00,0,4, Chicago Lawn,41.77144742,-87.6858684,Middle City
HY410860,9/4/2015 21:30,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,04A,"(41.75283774, -87.620854539)",9:30:00,0,9, Greater Grand Crossing,41.75283774,-87.62085454,Middle City
HY411859,9/5/2015 5:00,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,14,"(41.755910033, -87.605321288)",5:00:00,0,5, Greater Grand Crossing,41.75591003,-87.60532129,Middle City
HY411838,9/5/2015 17:14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,18,"(41.879241446, -87.69747934)",5:14:00,0,5, East Garfield Park,41.87924145,-87.69747934,West Side
HY411820,9/5/2015 16:21,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,08B,"(41.758365901, -87.617505767)",4:21:00,0,4, Greater Grand Crossing,41.7583659,-87.61750577,Middle City
HY411830,9/5/2015 17:05,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.726269511, -87.604571673)",5:05:00,0,5, Chatham,41.72626951,-87.60457167,Middle City
HY411737,9/5/2015 15:40,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,6,"(41.748511998, -87.607585302)",3:40:00,0,3, Chatham,41.748512,-87.6075853,Middle City
HY411843,9/4/2015 12:00,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,6,"(41.721180629, -87.623717187)",12:00:00,0,12, Roseland,41.72118063,-87.62371719,East Side
HY411486,8/17/2015 12:00,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.937925583, -87.664880228)",12:00:00,0,12, Lake View,41.93792558,-87.66488023,Upper Town
HY411822,9/5/2015 16:50,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,08B,"(41.700149617, -87.67659095)",4:50:00,0,4, Beverly,41.70014962,-87.67659095,Middle City
HY411866,8/30/2015 16:00,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,FALSE,FALSE,6,"(41.863235129, -87.624061274)",4:00:00,0,4, Near South Side,41.86323513,-87.62406127,Upper Town
HY411885,9/5/2015 1:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,7,"(41.919567169, -87.691898319)",1:00:00,0,1, Logan Square,41.91956717,-87.69189832,West Side
HY411862,9/5/2015 16:30,THEFT,FROM BUILDING,DEPARTMENT STORE,FALSE,FALSE,6,"(41.865397377, -87.640660777)",4:30:00,0,4, Near West Side,41.86539738,-87.64066078,Upper Town
HY411864,9/5/2015 17:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,14,"(41.871520566, -87.625930316)",5:00:00,0,5, Loop,41.87152057,-87.62593032,Upper Town
HY411784,9/5/2015 13:09,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,FALSE,FALSE,24,"(41.881830765, -87.709762859)",1:09:00,0,1, East Garfield Park,41.88183077,-87.70976286,West Side
HY411827,9/5/2015 16:55,BATTERY,SIMPLE,HOTEL/MOTEL,TRUE,FALSE,08B,"(41.889741913, -87.765198001)",4:55:00,0,4, Austin,41.88974191,-87.765198,West Side
HY411873,9/3/2015 18:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,14,"(41.81399924, -87.598137918)",6:00:00,0,6, Kenwood,41.81399924,-87.59813792,Middle City
HY410681,9/4/2015 13:45,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,6,"(41.885260516, -87.633916764)",1:45:00,0,1, Loop,41.88526052,-87.63391676,Upper Town
HY411870,8/30/2015 10:30,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,FALSE,FALSE,11,"(41.824538512, -87.671450605)",10:30:00,0,10, McKinley Park,41.82453851,-87.67145061,Middle City
HY411892,9/5/2015 17:30,THEFT,FROM BUILDING,GROCERY FOOD STORE,FALSE,FALSE,6,"(41.978991238, -87.659941972)",5:30:00,0,5, Edgewater,41.97899124,-87.65994197,Upper Town
HY411894,9/5/2015 12:00,THEFT,OVER $500,OTHER,FALSE,FALSE,6,"(41.741239038, -87.634049179)",12:00:00,0,12, Auburn Gresham,41.74123904,-87.63404918,Lower Town
HY411845,9/5/2015 16:50,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,6,"(41.909664252, -87.742728815)",4:50:00,0,4, Austin,41.90966425,-87.74272882,West Side
HY411780,8/31/2015 16:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,11,"(41.900040745, -87.721343753)",4:00:00,0,4, Humboldt Park,41.90004075,-87.72134375,West Side
HY411914,9/5/2015 17:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.91894033, -87.766805639)",5:00:00,0,5, Belmont Cragin,41.91894033,-87.76680564,West Side
HY411773,9/5/2015 12:15,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,7,"(42.018472824, -87.677642429)",12:15:00,0,12, Rogers Park,42.01847282,-87.67764243,Upper Town
HY411886,9/5/2015 17:52,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,08B,"(41.874057815, -87.745964761)",5:52:00,0,5, Austin,41.87405782,-87.74596476,West Side
HY411844,9/5/2015 16:30,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,FALSE,6,"(41.721180629, -87.623717187)",4:30:00,0,4, Roseland,41.72118063,-87.62371719,East Side
HY411814,9/5/2015 15:00,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,6,"(41.879079395, -87.624341423)",3:00:00,0,3, Loop,41.8790794,-87.62434142,Upper Town
HY411665,9/4/2015 22:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,TRUE,FALSE,5,"(41.995263745, -87.782871067)",10:00:00,0,10, Norwood Park,41.99526375,-87.78287107,Upper Town
HY411941,9/1/2015 8:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,FALSE,FALSE,20,"(41.899095398, -87.718013856)",8:00:00,0,8, Humboldt Park,41.8990954,-87.71801386,West Side
HY411861,9/5/2015 17:10,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.785665665, -87.672862591)",5:10:00,0,5, West Englewood,41.78566567,-87.67286259,Lower Town
